[maintainerr]  |  26/04/2026 21:37:19  [INFO] [SettingsService] Settings not found.. Creating initial settings
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [MediaServerFactory] No media server configured yet - skipping initialization
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [TasksService] Task Collection Handler created successfully
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [TasksService] Task Collection Log Cleaner created successfully
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [TasksService] Task Rule Maintenance created successfully
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [TasksService] Task Notification Timer created successfully
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [NestFactory] Starting Nest application...
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [InstanceLoader] TypeOrmModule dependencies initialized
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [InstanceLoader] ExternalApiModule dependencies initialized
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [InstanceLoader] GracefulShutdownModule dependencies initialized
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [InstanceLoader] DiscoveryModule dependencies initialized
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [InstanceLoader] EventsModule dependencies initialized
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [InstanceLoader] ServeStaticModule dependencies initialized
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [InstanceLoader] EventEmitterModule dependencies initialized
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [InstanceLoader] ScheduleModule dependencies initialized
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [InstanceLoader] TypeOrmCoreModule dependencies initialized
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [InstanceLoader] TypeOrmModule dependencies initialized
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [InstanceLoader] TypeOrmModule dependencies initialized
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [InstanceLoader] TypeOrmModule dependencies initialized
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [InstanceLoader] TypeOrmModule dependencies initialized
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [InstanceLoader] TypeOrmModule dependencies initialized
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [InstanceLoader] GitHubApiModule dependencies initialized
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [InstanceLoader] JellyfinModule dependencies initialized
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [InstanceLoader] TasksModule dependencies initialized
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [InstanceLoader] SeerrApiModule dependencies initialized
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [InstanceLoader] TautulliApiModule dependencies initialized
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [InstanceLoader] InternalApiModule dependencies initialized
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [InstanceLoader] TmdbApiModule dependencies initialized
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [InstanceLoader] SettingsModule dependencies initialized
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [InstanceLoader] LogsModule dependencies initialized
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [InstanceLoader] ActionsModule dependencies initialized
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [InstanceLoader] ServarrApiModule dependencies initialized
